Data Zone,Intermediate Geography Name,All people,Work or study mainly at or from home,Underground metro light rail or tram,Train,Bus minibus or coach,Taxi or minicab,Driving a car or van,Passenger in a car or van,Motorcycle scooter or moped,Bicycle,On foot,Other
S01003372,"Cranhill, Lightburn and Queenslie South",435,63,-,40,68,8,109,69,1,2,74,1
S01003373,City Centre West,1688,194,58,153,141,3,216,16,-,9,882,16
S01003374,Barlanark,266,56,1,8,74,2,42,20,-,1,59,3
S01003375,Drumoyne and Shieldhall,591,58,22,15,110,2,217,58,-,4,101,4
S01003376,Barlanark,285,35,-,11,84,4,58,27,-,1,62,3
S01003377,"Cranhill, Lightburn and Queenslie South",351,36,-,16,57,10,107,40,2,2,78,3
S01003378,Carntyne West and Haghill,462,71,1,17,125,8,88,26,-,1,123,2
S01003379,North Barlanark and Easterhouse South,343,57,1,9,105,5,48,19,-,1,97,1
S01003380,Dennistoun,1003,87,10,143,152,6,224,46,1,27,302,5
S01003381,Carntyne West and Haghill,448,40,1,8,105,2,174,59,-,1,55,3
S01003382,Anderston,1194,140,1,71,87,10,321,55,2,14,475,18
S01003383,"Cranhill, Lightburn and Queenslie South",462,43,1,19,96,6,157,70,-,-,69,1
S01003384,Drumoyne and Shieldhall,495,40,47,6,73,7,165,36,1,11,106,3
S01003385,Dennistoun,623,58,8,71,132,4,144,14,2,27,163,-
S01003386,Drumoyne and Shieldhall,329,51,12,8,59,3,109,19,-,4,63,1
S01003387,Carntyne West and Haghill,508,65,2,48,121,8,106,25,1,18,111,3
S01003388,Ibrox,476,74,74,7,96,4,104,24,1,3,89,-
S01003389,Carntyne West and Haghill,630,109,3,43,190,9,98,20,1,14,142,1
S01003390,North Barlanark and Easterhouse South,683,111,-,22,181,6,145,62,1,1,151,3
S01003391,Dennistoun,389,60,2,38,74,5,61,14,-,3,132,-
S01003392,Dennistoun North and Alexandra Parade,602,69,5,76,148,3,140,18,-,18,124,1
S01003393,Carntyne,386,42,1,9,93,9,114,43,-,2,68,5
S01003394,Easterhouse East,373,49,2,22,85,2,103,34,-,2,74,-
S01003395,Dennistoun North and Alexandra Parade,473,46,1,43,91,4,112,20,-,21,133,2
S01003396,Govan and Linthouse,465,65,74,8,107,4,89,28,2,8,79,1
S01003397,North Barlanark and Easterhouse South,578,81,-,17,164,14,126,52,3,5,114,2
S01003398,Easterhouse East,490,50,-,54,107,7,123,41,1,5,102,-
S01003399,City Centre East,1636,363,31,80,97,4,98,19,4,11,916,13
S01003400,Carntyne,342,18,1,7,73,9,135,39,1,3,53,3
S01003401,"Cranhill, Lightburn and Queenslie South",402,68,-,10,100,8,66,23,-,4,116,7
S01003402,Central Easterhouse,509,84,-,30,107,4,105,39,-,2,136,2
S01003403,Finnieston and Kelvinhaugh,883,106,7,65,92,6,163,25,1,24,386,8
S01003404,"Cranhill, Lightburn and Queenslie South",245,27,-,9,71,5,58,21,-,2,51,1
S01003405,Easterhouse East,427,55,1,26,80,6,147,48,-,1,61,2
S01003406,Dennistoun North and Alexandra Parade,450,58,5,70,101,4,89,15,1,4,99,4
S01003407,Carntyne,437,45,1,20,128,-,146,38,2,2,54,1
S01003408,Anderston,412,86,1,32,60,4,62,15,1,2,148,1
S01003409,Dennistoun North and Alexandra Parade,1145,130,12,64,193,10,294,25,1,24,384,8
S01003410,City Centre West,1228,166,41,80,89,2,102,14,2,24,702,6
S01003411,Drumoyne and Shieldhall,432,60,25,7,90,2,120,25,1,4,95,3
S01003412,Govan and Linthouse,486,67,49,8,89,3,137,32,1,5,92,3
S01003413,"Cranhill, Lightburn and Queenslie South",486,51,1,19,81,9,155,65,2,-,102,1
S01003414,Easterhouse East,219,31,1,8,59,3,51,15,-,1,50,-
S01003415,City Centre East,902,188,7,13,90,2,49,15,-,4,533,1
S01003416,City Centre East,381,59,6,16,50,2,56,10,-,7,175,-
S01003417,Dennistoun North and Alexandra Parade,637,60,3,44,176,4,150,19,1,14,165,1
S01003418,Govan and Linthouse,420,57,66,13,103,4,81,24,1,4,67,-
S01003419,Craigend and Ruchazie,480,82,-,9,134,5,86,30,-,4,129,1
S01003420,North Barlanark and Easterhouse South,205,24,-,5,65,4,37,17,-,1,49,3
S01003421,"Cranhill, Lightburn and Queenslie South",472,54,2,16,117,6,128,39,1,1,107,1
S01003422,Dennistoun North and Alexandra Parade,434,48,1,32,130,3,79,20,-,13,108,-
S01003423,Anderston,647,58,3,47,54,5,99,15,-,7,356,3
S01003424,Drumoyne and Shieldhall,536,62,37,13,137,5,125,26,3,2,122,4
S01003425,Finnieston and Kelvinhaugh,661,76,4,57,56,3,116,23,-,14,310,2
S01003426,Dennistoun North and Alexandra Parade,608,70,9,75,134,8,151,30,-,17,110,4
S01003427,Carntyne,462,48,-,13,129,6,137,41,-,3,81,4
S01003428,"Cranhill, Lightburn and Queenslie South",438,65,1,11,106,7,88,35,-,4,120,1
S01003429,Finnieston and Kelvinhaugh,1391,225,12,28,90,5,143,19,-,26,841,2
S01003430,Anderston,628,71,6,36,48,2,84,16,-,15,347,3
S01003431,Riddrie and Hogganfield,289,33,-,8,71,2,108,29,-,-,37,1
S01003432,Finnieston and Kelvinhaugh,763,72,13,41,50,2,118,17,1,31,416,2
S01003433,City Centre West,1006,149,12,53,58,2,79,27,-,21,598,7
S01003434,Central Easterhouse,386,44,1,15,103,3,95,24,-,1,100,-
S01003435,Central Easterhouse,392,40,1,8,102,5,83,37,-,-,113,3
S01003436,Drumoyne and Shieldhall,390,19,13,19,45,5,139,64,1,4,79,2
S01003437,Finnieston and Kelvinhaugh,703,83,16,26,61,2,129,22,-,26,332,6
S01003438,Finnieston and Kelvinhaugh,1237,190,39,41,105,9,168,21,1,36,617,10
S01003439,City Centre East,555,80,20,17,61,1,91,12,-,8,263,2
S01003440,Riddrie and Hogganfield,263,35,-,8,56,3,81,23,-,2,54,1
S01003441,Govan and Linthouse,791,103,120,20,158,4,167,42,2,8,165,2
S01003442,"Roystonhill, Blochairn, and Provanmill",584,118,3,12,128,3,85,48,-,5,180,2
S01003443,"Roystonhill, Blochairn, and Provanmill",463,83,4,10,146,4,61,19,-,4,132,-
S01003444,"Garthamlock, Auchinlea and Gartloch",365,70,1,5,128,3,54,27,-,-,74,3
S01003445,"Roystonhill, Blochairn, and Provanmill",643,112,2,7,156,2,108,41,-,5,205,5
S01003446,City Centre West,349,58,20,18,34,-,36,4,-,11,165,3
S01003447,City Centre East,2148,336,151,99,137,3,35,13,-,9,1363,2
S01003448,Riddrie and Hogganfield,353,42,-,7,82,7,111,33,1,3,64,3
S01003449,City Centre West,659,93,15,36,44,2,89,8,-,10,358,4
S01003450,Finnieston and Kelvinhaugh,664,86,15,24,104,1,121,11,1,24,272,5
S01003451,Hillhead,693,82,82,87,54,1,151,15,-,16,201,4
S01003452,Riddrie and Hogganfield,427,62,2,8,91,7,116,54,-,1,74,12
S01003453,Woodlands,1061,140,23,45,52,10,271,31,2,28,445,14
S01003454,Woodlands,494,79,14,19,42,4,66,15,-,10,243,2
S01003455,Craigend and Ruchazie,372,58,-,3,128,8,80,30,-,3,61,1
S01003456,Central Easterhouse,115,16,3,2,31,2,25,13,1,-,22,-
S01003457,"Roystonhill, Blochairn, and Provanmill",493,93,1,11,171,3,68,10,2,13,120,1
S01003458,"Roystonhill, Blochairn, and Provanmill",601,84,1,13,132,7,166,72,-,2,120,4
S01003459,Craigend and Ruchazie,512,76,-,3,143,7,148,58,-,2,74,1
S01003460,Hillhead,835,91,124,38,53,7,203,24,-,19,268,8
S01003461,Riddrie and Hogganfield,414,31,-,10,84,3,166,58,1,1,57,3
S01003462,"Garthamlock, Auchinlea and Gartloch",304,46,1,10,88,1,64,34,-,1,59,-
S01003463,Sighthill,356,84,-,9,88,-,31,18,-,6,119,1
S01003464,Woodlands,809,122,59,27,43,3,112,12,1,25,402,3
S01003465,Glasgow Harbour and  Partick South,2098,227,213,202,204,12,766,71,4,54,326,19
S01003466,Hillhead,516,59,70,55,57,4,97,10,4,10,147,3
S01003467,Craigend and Ruchazie,361,45,-,5,104,3,121,32,1,2,48,-
S01003468,Woodlands,665,86,35,24,44,6,75,21,1,19,353,1
S01003469,Glasgow Harbour and  Partick South,641,70,71,76,82,2,125,18,1,16,178,2
S01003470,Hillhead,907,84,123,39,73,3,131,15,-,17,418,4
S01003471,Riddrie and Hogganfield,406,71,-,10,116,4,78,33,3,3,86,2
S01003472,Sighthill,463,96,-,18,127,4,58,16,-,3,140,1
S01003473,Woodside,586,77,50,24,72,2,96,20,-,10,234,1
S01003474,Woodlands,584,87,22,14,33,4,60,11,-,20,332,1
S01003475,Woodside,528,89,58,27,52,6,79,22,-,10,184,1
S01003476,"Garthamlock, Auchinlea and Gartloch",852,87,3,14,208,10,338,96,2,4,88,2
S01003477,Glasgow Harbour and  Partick South,855,68,111,142,97,3,200,29,-,19,181,5
S01003478,Hillhead,618,60,80,40,37,5,110,20,-,16,248,2
S01003479,Hillhead,619,72,83,59,48,1,115,8,-,19,212,2
S01003480,Whiteinch,470,52,14,26,110,6,141,26,1,7,84,3
S01003481,Partick,683,89,80,85,57,6,131,11,1,27,192,4
S01003482,Firhill,306,54,25,12,47,1,40,7,1,2,116,1
S01003483,Craigend and Ruchazie,284,43,1,6,77,3,92,29,1,3,28,1
S01003484,Kelvingrove and University,971,163,99,18,49,7,100,15,-,28,489,3
S01003485,Woodlands,762,105,63,23,33,7,119,11,-,36,363,2
S01003486,Riddrie and Hogganfield,559,77,2,8,158,13,105,73,1,2,118,2
S01003487,Woodlands,860,128,65,20,45,3,90,12,2,28,463,4
S01003488,"Roystonhill, Blochairn, and Provanmill",285,38,-,9,72,1,85,24,-,1,52,3
S01003489,Blackhill and Barmulloch East,755,102,2,10,184,12,241,87,2,3,110,2
S01003490,Woodside,326,46,47,9,46,3,56,12,-,3,102,2
S01003491,Sighthill,36,4,-,3,13,-,3,2,1,-,10,-
S01003492,Cowlairs and Port Dundas,737,111,14,28,141,4,171,23,3,11,227,4
S01003493,Whiteinch,480,45,12,16,139,2,142,27,1,12,82,2
S01003494,Woodside,455,49,30,15,62,-,99,13,2,14,171,-
S01003495,Sighthill,567,93,-,30,136,5,166,54,1,2,79,1
S01003496,Partick,745,60,100,118,52,5,196,21,1,26,159,7
S01003497,Kelvingrove and University,726,68,123,43,39,3,165,12,-,13,251,9
S01003498,Broomhill,597,75,29,41,87,3,186,33,1,13,127,2
S01003499,Partick,709,51,65,86,65,1,204,21,1,42,170,3
S01003500,Firhill,345,87,20,15,74,3,33,19,-,3,91,-
S01003501,Kelvingrove and University,614,102,56,17,37,1,83,11,-,15,292,-
S01003502,"Garthamlock, Auchinlea and Gartloch",1355,153,3,86,177,21,616,178,1,9,103,8
S01003503,Hillhead,549,63,66,38,33,1,140,18,-,11,177,2
S01003504,Kelvingrove and University,772,111,64,15,43,5,98,10,1,27,396,2
S01003506,Firhill,834,118,97,23,55,5,150,21,-,31,328,6
S01003507,Firhill,421,58,33,16,46,3,63,21,-,9,168,4
S01003508,Partick,414,40,36,40,64,2,104,17,-,10,100,1
S01003509,Kelvingrove and University,758,101,107,26,34,5,189,30,-,22,238,6
S01003510,Cowlairs and Port Dundas,265,31,1,7,65,1,76,21,-,4,57,2
S01003511,Partickhill and Hyndland,844,88,73,96,43,2,238,32,-,18,248,6
S01003512,Craigend and Ruchazie,267,34,1,3,80,5,85,25,-,-,34,-
S01003513,Kelvingrove and University,649,77,64,12,33,-,80,15,-,20,346,2
S01003514,Dowanhill,778,122,88,36,38,2,120,14,1,15,341,1
S01003515,Blackhill and Barmulloch East,309,45,-,-,81,6,79,23,2,1,72,-
S01003516,Blackhill and Barmulloch East,465,45,-,7,89,7,222,60,-,1,33,1
S01003517,Firhill,604,50,76,23,58,3,114,16,-,21,240,3
S01003518,Whiteinch,615,96,6,15,204,7,164,27,1,10,85,-
S01003519,Firhill,316,45,13,15,63,3,71,14,-,5,85,2
S01003520,Partickhill and Hyndland,492,49,47,32,41,2,122,17,1,9,168,4
S01003521,Kelvingrove and University,467,59,37,5,32,-,55,14,-,8,257,-
S01003522,Dowanhill,665,83,107,36,37,-,142,9,2,28,212,9
S01003523,Craigend and Ruchazie,348,26,-,12,76,4,126,51,-,-,52,1
S01003524,Broomhill,807,83,16,112,73,2,298,32,1,22,155,13
S01003525,Partickhill and Hyndland,819,83,33,164,45,1,251,29,-,26,186,1
S01003526,North Kelvin,816,96,97,24,40,2,166,17,1,23,345,5
S01003527,Victoria Park,614,47,9,50,40,1,243,36,1,24,160,3
S01003528,"Garthamlock, Auchinlea and Gartloch",385,51,-,4,92,4,135,57,-,-,39,3
S01003529,Petershill,407,37,2,35,66,10,138,74,-,3,41,1
S01003530,Firhill,683,49,78,28,61,6,156,20,-,25,252,8
S01003531,Scotstoun South and West,434,54,5,11,134,6,120,34,2,3,64,1
S01003532,Victoria Park,693,69,20,41,92,5,265,47,-,19,132,3
S01003533,Petershill,98,28,3,4,38,-,6,4,-,-,15,-
S01003534,Petershill,578,53,5,58,139,8,180,49,1,4,78,3
S01003535,Whiteinch,434,55,5,17,118,5,145,25,-,10,52,2
S01003536,Partickhill and Hyndland,788,84,20,145,33,2,240,36,-,27,191,10
S01003537,Firhill,493,59,40,10,64,7,121,18,-,21,153,-
S01003538,Blackhill and Barmulloch East,327,49,-,6,95,8,83,25,-,-,61,-
S01003539,Broomhill,694,72,10,131,32,4,242,28,-,30,138,7
S01003540,Keppochhill,204,17,4,5,62,3,66,7,-,2,38,-
S01003541,Petershill,498,86,-,15,157,1,48,32,-,4,154,1
S01003542,Dowanhill,560,65,54,34,42,4,183,39,1,14,114,10
S01003543,Keppochhill,407,59,6,5,130,2,80,31,1,3,88,2
S01003544,North Kelvin,404,38,42,12,22,3,98,17,1,29,140,2
S01003545,Dowanhill,597,53,78,23,42,-,201,22,-,19,149,10
S01003546,Cowlairs and Port Dundas,483,62,5,26,125,2,128,36,-,7,92,-
S01003547,North Kelvin,584,82,41,22,72,4,141,23,-,37,157,5
S01003549,Petershill,421,72,1,13,102,7,73,38,-,2,112,1
S01003550,Robroyston and Millerston,464,56,-,5,75,6,208,83,3,1,21,6
S01003551,Petershill,371,29,1,16,100,6,106,23,-,6,80,4
S01003552,Kelvinside and Jordanhill,845,97,23,217,21,1,262,32,3,32,152,5
S01003553,Keppochhill,311,69,2,5,75,6,62,18,-,2,72,-
S01003554,North Kelvin,563,62,59,27,41,1,137,18,-,21,188,9
S01003555,North Kelvin,588,83,58,13,46,1,149,25,-,34,171,8
S01003556,Scotstoun North and East,490,45,5,32,58,4,203,48,-,15,76,4
S01003557,Barmulloch,373,71,-,4,96,8,60,32,-,3,99,-
S01003558,Dowanhill,736,77,16,116,46,2,254,20,3,14,181,7
S01003559,Scotstoun North and East,688,70,5,36,116,3,275,48,2,32,96,5
S01003560,Broomhill,872,75,13,145,46,2,329,45,1,18,192,6
S01003561,Keppochhill,774,96,25,7,226,4,142,33,-,12,225,4
S01003562,Scotstoun South and West,353,46,4,15,127,5,91,13,-,5,44,3
S01003563,Barmulloch,280,30,2,4,92,4,59,30,-,-,58,1
S01003564,Keppochhill,358,50,6,5,129,2,54,19,-,1,92,-
S01003565,Springburn,419,66,1,15,82,4,97,44,-,2,105,3
S01003566,Ruchill,613,71,67,24,55,2,136,13,2,25,217,1
S01003567,Cowlairs and Port Dundas,528,107,-,10,156,-,85,43,3,2,121,1
S01003568,Kelvindale,485,51,27,18,47,2,184,42,1,19,89,5
S01003569,Victoria Park,458,61,4,47,34,1,158,23,1,10,117,2
S01003570,Scotstoun North and East,499,41,3,48,57,2,176,52,-,14,98,8
S01003571,Scotstoun South and West,562,79,3,31,179,4,157,41,-,7,59,2
S01003572,Springburn,546,92,-,19,141,6,101,31,-,5,149,2
S01003573,Springburn,472,45,-,17,99,5,146,36,2,3,116,3
S01003574,Ruchill,818,75,68,29,98,1,235,18,-,61,229,4
S01003575,Scotstoun North and East,490,73,3,30,130,1,123,47,1,8,70,4
S01003576,Kelvinside and Jordanhill,608,82,20,99,52,2,186,39,1,13,111,3
S01003577,Barmulloch,554,46,4,12,111,9,185,60,-,1,124,2
S01003578,Barmulloch,110,15,-,4,34,-,27,9,-,-,20,1
S01003579,Keppochhill,419,80,3,10,137,5,53,26,-,4,101,-
S01003580,Springburn East and Cowlairs,591,74,4,33,128,10,189,38,2,3,109,1
S01003581,Ruchill,1931,192,27,19,236,8,239,45,1,48,1110,6
S01003582,Possil Park,300,57,2,6,103,5,51,12,1,-,62,1
S01003583,Blackhill and Barmulloch East,276,32,1,1,77,5,70,36,-,2,50,2
S01003584,Scotstoun South and West,437,104,2,11,147,1,62,27,-,4,76,3
S01003585,Ruchill,439,44,18,23,96,5,103,10,1,17,120,2
S01003586,Scotstoun North and East,537,88,2,46,128,1,139,37,-,6,89,1
S01003587,Kelvinside and Jordanhill,801,77,3,113,31,3,260,49,-,17,242,6
S01003588,Robroyston and Millerston,465,44,2,19,97,11,233,38,-,2,15,4
S01003589,Kelvindale,1325,172,31,34,109,12,291,45,1,30,593,7
S01003590,Yoker South,511,62,-,18,189,6,137,27,-,9,61,2
S01003591,Kelvinside and Jordanhill,933,95,2,113,56,9,370,133,-,10,137,8
S01003592,Ruchill,899,123,5,18,209,13,247,62,1,19,195,7
S01003593,Scotstoun South and West,369,38,-,35,78,1,111,39,-,7,58,2
S01003594,Kelvindale,723,80,12,43,83,3,270,31,2,22,160,17
S01003595,Possil Park,438,86,3,14,120,6,81,48,3,9,68,-
S01003596,Wyndford,339,41,3,8,121,4,74,13,1,8,65,1
S01003597,Kelvinside and Jordanhill,408,49,3,41,36,2,158,30,-,6,82,1
S01003598,Barmulloch,361,40,-,5,95,7,99,42,-,1,71,1
S01003599,Possil Park,560,77,4,40,101,6,194,76,1,4,56,1
S01003600,Wyndford,404,40,3,7,124,2,95,30,-,7,94,2
S01003601,Springburn East and Cowlairs,492,56,6,15,169,3,83,32,2,3,122,1
S01003602,Balornock,330,42,1,2,90,3,102,25,1,-,63,1
S01003603,Knightswood East,407,57,-,50,78,3,101,34,-,5,79,-
S01003604,Ruchill,500,56,21,8,119,5,114,22,1,25,128,1
S01003605,Knightswood East,346,45,-,37,86,4,87,22,-,3,61,1
S01003606,Springburn,465,42,1,18,92,2,166,44,2,5,87,6
S01003607,Balornock,317,30,-,5,66,7,96,48,-,-,62,3
S01003608,Yoker South,316,35,1,44,55,2,91,32,-,1,54,1
S01003609,Kelvinside and Jordanhill,701,75,6,107,37,4,234,24,1,21,187,5
S01003610,Yoker South,668,88,5,20,199,2,202,52,1,12,83,4
S01003611,Springburn East and Cowlairs,363,45,-,16,92,2,89,22,1,1,91,4
S01003612,Anniesland East,456,40,7,75,59,3,174,11,-,4,83,-
S01003613,Robroyston and Millerston,1063,90,1,31,123,8,572,175,2,4,49,8
S01003614,Kelvinside and Jordanhill,326,19,-,27,34,2,141,25,-,12,66,-
S01003615,Yoker South,527,86,-,23,121,5,144,51,-,7,84,6
S01003616,Robroyston and Millerston,681,78,1,13,70,7,315,130,-,7,56,4
S01003617,Wyndford,381,68,2,9,154,6,52,19,-,3,67,1
S01003618,Knightswood Park East,476,56,1,47,60,5,181,52,-,4,68,2
S01003619,Wyndford,377,62,3,7,147,-,56,15,-,2,82,3
S01003620,Kelvindale,738,92,12,50,76,6,270,46,1,26,152,7
S01003621,Possil Park,384,46,1,31,89,5,121,36,-,1,54,-
S01003622,Knightswood East,428,38,3,68,67,5,148,32,1,9,56,1
S01003623,Kelvindale,619,72,19,62,63,3,216,39,-,21,124,-
S01003624,Possil Park,872,109,9,13,204,8,271,100,-,10,145,3
S01003625,Wyndford,215,22,3,5,57,1,68,20,-,4,35,-
S01003626,Robroyston and Millerston,511,52,-,13,65,6,266,82,-,-,25,2
S01003627,Springburn East and Cowlairs,298,58,-,12,87,5,55,18,-,3,57,3
S01003628,Balornock,355,39,1,2,95,8,100,39,1,1,68,1
S01003629,Possil Park,340,43,3,15,91,5,96,29,-,2,56,-
S01003630,Knightswood Park West,356,51,-,31,74,2,124,34,-,3,37,-
S01003631,Knightswood Park East,827,81,6,73,126,4,353,107,-,9,61,7
S01003632,Anniesland East,681,92,5,93,89,5,210,54,1,12,119,1
S01003633,Yoker South,875,69,2,49,201,5,377,80,4,8,70,10
S01003634,Balornock,522,68,-,10,143,9,126,64,-,3,98,1
S01003635,Anniesland East,343,29,2,80,57,1,102,7,-,13,52,-
S01003636,Milton West,432,43,1,14,106,6,139,54,-,3,66,-
S01003637,Anniesland West,608,65,6,74,78,5,237,31,-,12,94,6
S01003638,Kelvindale,522,45,3,62,53,2,212,23,-,19,97,6
S01003639,Knightswood West,381,50,-,35,77,-,124,30,1,7,53,4
S01003640,Milton West,559,46,-,23,164,10,177,54,-,5,76,4
S01003641,Robroyston and Millerston,568,49,-,8,85,3,273,88,-,2,57,3
S01003642,Knightswood East,440,35,3,48,71,3,171,54,1,1,51,2
S01003643,Maryhill West,491,48,3,18,121,6,161,52,2,9,67,4
S01003644,Springburn,499,68,2,17,121,6,152,41,-,-,82,10
S01003645,Knightswood Park West,277,18,1,29,44,4,104,32,1,3,41,-
S01003646,Knightswood Park East,464,85,1,18,191,3,40,35,-,5,85,1
S01003647,Anniesland West,428,64,1,38,71,2,153,38,-,8,51,2
S01003648,Anniesland West,569,59,1,91,91,3,178,26,1,14,102,3
S01003649,Springburn East and Cowlairs,599,61,1,23,136,6,229,75,1,2,62,3
S01003650,Maryhill West,434,73,4,17,119,3,110,35,-,5,67,1
S01003651,Knightswood Park East,344,40,4,23,77,4,113,32,-,1,49,1
S01003652,Maryhill East,412,41,-,17,125,5,103,40,-,12,64,5
S01003653,Milton West,381,55,1,4,128,1,95,31,-,2,64,-
S01003654,Yoker North,527,81,1,16,111,4,159,53,1,5,91,5
S01003655,Balornock,379,51,2,10,132,4,87,36,1,-,55,1
S01003656,Maryhill East,596,57,3,56,158,2,165,50,1,10,92,2
S01003657,Milton East,411,44,2,16,135,4,101,45,-,2,55,7
S01003658,Knightswood West,548,52,1,36,97,7,229,67,2,3,52,2
S01003659,Anniesland West,508,35,4,80,78,2,180,30,2,9,86,2
S01003660,Robroyston and Millerston,800,58,-,21,114,10,384,152,3,5,50,3
S01003661,Anniesland East,705,57,1,67,84,4,318,87,1,15,69,2
S01003662,Knightswood Park West,334,45,1,15,62,1,118,39,-,3,49,1
S01003663,Maryhill West,294,32,7,12,90,2,68,20,1,2,59,1
S01003664,Maryhill East,250,32,1,23,59,3,72,19,1,4,34,2
S01003665,Maryhill East,275,30,-,17,110,1,43,16,1,3,54,-
S01003666,Milton West,340,48,1,6,97,9,92,18,1,2,66,-
S01003667,Yoker North,547,59,1,43,86,4,212,70,-,6,59,7
S01003668,Anniesland West,428,35,6,24,85,4,165,50,-,7,50,2
S01003669,Milton West,561,63,2,14,152,8,185,72,1,1,63,-
S01003670,Maryhill East,496,65,2,27,153,10,116,48,1,1,73,-
S01003671,Anniesland West,372,41,1,24,82,6,109,36,-,4,67,2
S01003672,Milton East,373,49,3,9,113,9,94,20,-,2,73,1
S01003673,Maryhill West,118,19,-,8,36,1,20,17,-,-,17,-
S01003674,Knightswood East,403,45,3,31,88,8,141,36,1,6,44,-
S01003675,Anniesland East,679,60,7,120,65,3,245,43,1,21,110,4
S01003676,Anniesland West,906,80,6,123,81,7,405,43,-,15,141,5
S01003677,Milton East,350,27,1,4,124,4,96,30,-,1,61,2
S01003678,Yoker North,373,46,3,13,83,11,120,48,1,5,42,1
S01003679,Knightswood West,565,58,2,19,143,1,178,72,1,4,81,6
S01003680,Milton East,349,42,2,5,119,4,93,32,-,1,49,2
S01003681,Knightswood Park West,298,36,2,13,60,6,120,33,1,-,24,3
S01003682,Summerston North,734,66,3,66,118,6,270,99,3,10,88,5
S01003683,Blairdardie East,347,40,1,7,56,6,134,49,-,4,50,-
S01003684,Blairdardie East,457,49,2,31,64,5,163,48,-,3,88,4
S01003685,Yoker North,341,35,1,15,73,3,124,48,2,3,36,1
S01003686,Summerston Central and West,591,50,2,50,147,9,191,53,-,2,86,1
S01003687,Milton East,309,37,2,6,110,7,68,26,-,3,50,-
S01003688,Summerston North,484,50,-,22,108,2,171,45,-,1,85,-
S01003689,Blairdardie East,369,56,2,35,54,6,85,30,-,2,96,3
S01003690,Knightswood Park West,402,55,3,29,129,8,92,32,-,2,51,1
S01003691,Summerston Central and West,701,58,2,54,131,10,275,58,1,5,104,3
S01003692,Blairdardie East,582,52,2,35,128,9,205,56,-,7,81,7
S01003693,Blairdardie East,326,29,1,51,50,5,115,33,-,1,41,-
S01003694,Blairdardie West,617,50,2,50,107,2,268,64,3,5,63,3
S01003695,Summerston North,731,66,2,27,229,13,164,40,-,10,175,5
S01003696,Blairdardie East,591,54,-,78,73,4,232,57,-,2,90,1
S01003697,Blairdardie West,639,56,3,60,65,7,301,96,3,5,37,6
S01003698,Blairdardie West,596,66,-,67,87,3,214,57,-,1,94,7
S01003699,Summerston Central and West,735,53,7,46,149,8,330,70,2,2,64,4
S01003700,Summerston North,565,69,2,17,131,5,201,36,-,2,101,1
S01003701,Blairdardie East,523,65,3,58,96,3,200,42,1,2,51,2
S01003702,Drumchapel South,476,63,-,42,105,3,107,65,-,4,87,-
S01003703,Drumchapel South,539,63,3,93,72,10,146,54,1,5,89,3
S01003704,Drumry West,332,47,-,24,84,3,82,30,-,2,58,2
S01003705,Drumchapel South,477,68,3,35,117,7,95,38,1,2,108,3
S01003706,Drumchapel South,378,58,2,23,119,2,89,33,1,-,46,5
S01003707,Drumry West,635,112,5,27,131,12,149,78,-,5,116,-
S01003708,Drumchapel North,484,100,1,12,161,6,60,37,-,3,104,-
S01003709,Drumry East,306,70,2,9,80,2,55,17,-,4,66,1
S01003710,Summerston Central and West,695,77,2,20,170,8,242,63,1,5,103,4
S01003711,Drumchapel North,507,98,1,17,130,15,97,39,-,-,106,4
S01003712,Drumry West,535,70,1,30,114,6,173,57,1,2,78,3
S01003713,Drumry East,255,30,1,9,64,7,58,28,-,-,57,1
S01003714,Drumchapel North,394,53,2,15,89,5,126,35,2,3,61,3
S01003715,Drumry West,546,57,2,30,116,5,194,87,2,1,51,1
S01003716,Drumchapel North,267,52,2,5,67,1,48,15,-,3,72,2
S01003717,Drumry East,459,76,-,8,118,2,112,43,-,1,99,-
S01003718,Drumry East,455,56,-,21,99,5,126,56,-,1,90,1
